Scientific name,Genus,Species,Latitude,Longitude
Erimystax_harryi,Erimystax,harryi,35.74917,-91.558334
Erimystax_harryi,Erimystax,harryi,36.61795,-90.83981
Erimystax_harryi,Erimystax,harryi,36.6425,-90.8425
Erimystax_harryi,Erimystax,harryi,36.61795,-90.83982
Erimystax_harryi,Erimystax,harryi,36.49361,-90.877639
Erimystax_harryi,Erimystax,harryi,36.3125,-91.473335
Erimystax_harryi,Erimystax,harryi,37.0503,-93.3918
Erimystax_harryi,Erimystax,harryi,37.001667,-90.65833
Erimystax_harryi,Erimystax,harryi,37.416668,-90.82528
Erimystax_harryi,Erimystax,harryi,37.376667,-90.476944
