Scientific name,Genus,Species,Latitude,Longitude
Erimystax_insignis,Erimystax,insignis,36.66278,-81.80556
Erimystax_insignis,Erimystax,insignis,35.9498,-82.1924
Erimystax_insignis,Erimystax,insignis,36.0117,-82.1946
Erimystax_insignis,Erimystax,insignis,36.0049,-82.2363
Erimystax_insignis,Erimystax,insignis,35.9892,-82.2509
Erimystax_insignis,Erimystax,insignis,36.0286,-82.29
Erimystax_insignis,Erimystax,insignis,36.0457,-82.2988
Erimystax_insignis,Erimystax,insignis,36.0457,-82.2988
Erimystax_insignis,Erimystax,insignis,36.0262,-82.313
Erimystax_insignis,Erimystax,insignis,36.0193,-82.3265
Erimystax_insignis,Erimystax,insignis,36.0255,-82.3279
Erimystax_insignis,Erimystax,insignis,36.0255,-82.3279
Erimystax_insignis,Erimystax,insignis,36.0383,-82.3383
Erimystax_insignis,Erimystax,insignis,36.0155,-82.3513
Erimystax_insignis,Erimystax,insignis,35.391945,-82.37417
Erimystax_insignis,Erimystax,insignis,35.30722,-82.429726
Erimystax_insignis,Erimystax,insignis,35.35361,-82.44444
Erimystax_insignis,Erimystax,insignis,36.143055,-82.479164
Erimystax_insignis,Erimystax,insignis,35.421944,-82.504166
Erimystax_insignis,Erimystax,insignis,35.421944,-82.504166
Erimystax_insignis,Erimystax,insignis,35.4223,-82.5042
Erimystax_insignis,Erimystax,insignis,35.386944,-82.54583
Erimystax_insignis,Erimystax,insignis,35.568054,-82.54583
Erimystax_insignis,Erimystax,insignis,35.3892,-82.5493
Erimystax_insignis,Erimystax,insignis,35.37528,-82.54972
Erimystax_insignis,Erimystax,insignis,35.37528,-82.54972
Erimystax_insignis,Erimystax,insignis,35.481495,-82.55738
Erimystax_insignis,Erimystax,insignis,35.398613,-82.595
Erimystax_insignis,Erimystax,insignis,35.69472,-82.61361
Erimystax_insignis,Erimystax,insignis,35.69472,-82.61361
Erimystax_insignis,Erimystax,insignis,36.66195,-82.65694
Erimystax_insignis,Erimystax,insignis,36.65944,-82.67223
Erimystax_insignis,Erimystax,insignis,36.665,-82.6975
Erimystax_insignis,Erimystax,insignis,36.665,-82.6975
Erimystax_insignis,Erimystax,insignis,36.6563,-82.7401
Erimystax_insignis,Erimystax,insignis,36.6489,-82.7492
Erimystax_insignis,Erimystax,insignis,35.706665,-82.75056
Erimystax_insignis,Erimystax,insignis,35.136806,-82.803185
Erimystax_insignis,Erimystax,insignis,35.89465,-82.82747
Erimystax_insignis,Erimystax,insignis,36.0967,-83.0508
Erimystax_insignis,Erimystax,insignis,36.0967,-83.0508
Erimystax_insignis,Erimystax,insignis,36.1316,-83.1377
Erimystax_insignis,Erimystax,insignis,36.1316,-83.1377
Erimystax_insignis,Erimystax,insignis,36.16528,-83.16944
Erimystax_insignis,Erimystax,insignis,36.643333,-83.243614
Erimystax_insignis,Erimystax,insignis,36.643333,-83.243614
Erimystax_insignis,Erimystax,insignis,36.643333,-83.243614
Erimystax_insignis,Erimystax,insignis,36.6039,-83.2944
Erimystax_insignis,Erimystax,insignis,36.535,-83.447
Erimystax_insignis,Erimystax,insignis,36.535,-83.447
Erimystax_insignis,Erimystax,insignis,35.86972,-83.49805
Erimystax_insignis,Erimystax,insignis,35.7886,-83.5544
Erimystax_insignis,Erimystax,insignis,35.75,-83.583336
Erimystax_insignis,Erimystax,insignis,35.75,-83.583336
Erimystax_insignis,Erimystax,insignis,36.5422,-83.6317
Erimystax_insignis,Erimystax,insignis,36.5422,-83.6317
Erimystax_insignis,Erimystax,insignis,35.69778,-83.80695
Erimystax_insignis,Erimystax,insignis,35.72278,-83.8175
Erimystax_insignis,Erimystax,insignis,35.74972,-83.83722
Erimystax_insignis,Erimystax,insignis,35.7856,-83.8829
Erimystax_insignis,Erimystax,insignis,35.7857,-83.8838
Erimystax_insignis,Erimystax,insignis,35.7853,-83.8839
Erimystax_insignis,Erimystax,insignis,35.7858,-83.8839
Erimystax_insignis,Erimystax,insignis,35.7853,-83.8839
Erimystax_insignis,Erimystax,insignis,35.7858,-83.8841
Erimystax_insignis,Erimystax,insignis,35.78556,-83.88416
Erimystax_insignis,Erimystax,insignis,35.78556,-83.88416
Erimystax_insignis,Erimystax,insignis,35.1777,-83.9078
Erimystax_insignis,Erimystax,insignis,35.1776,-83.908
Erimystax_insignis,Erimystax,insignis,35.1741,-83.9162
Erimystax_insignis,Erimystax,insignis,35.82,-83.9233
Erimystax_insignis,Erimystax,insignis,35.82,-83.9233
Erimystax_insignis,Erimystax,insignis,35.1681,-83.9305
