gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1901083302	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/16262728	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.964011	-92.179287	132.0						2018-08-18T12:18:56Z	18	8	2018	5218351	5218351	HUMAN_OBSERVATION	iNaturalist	Observations	16262728			CC_BY_NC_4_0	brandonkmayer	brandonkmayer			2018-09-10T19:03:32.905Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1899499946	7fd12114-9010-4c13-8f46-990fe04ca882	75-9996-3400	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2006-01-10T00:00:00Z	10	1	2006	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9996-3400			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:50.238Z		RECORDED_DATE_MISMATCH
1899485664	7fd12114-9010-4c13-8f46-990fe04ca882	54-20686-2271	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2011-06-24T00:00:00Z	24	6	2011	5218351	5218351	UNKNOWN	NTSRV	OH-NHP	54-20686-2271			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:30.658Z		RECORDED_DATE_MISMATCH
1899476678	7fd12114-9010-4c13-8f46-990fe04ca882	75-9452-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					640.08	0.0			2002-06-01T00:00:00Z		6	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9452-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:18.048Z		RECORDED_DATE_MISMATCH
1899476676	7fd12114-9010-4c13-8f46-990fe04ca882	75-9457-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					716.28	0.0			2002-06-01T00:00:00Z		6	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9457-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:18.038Z		RECORDED_DATE_MISMATCH
1899476665	7fd12114-9010-4c13-8f46-990fe04ca882	75-9466-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					640.08	0.0			2002-06-01T00:00:00Z		6	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9466-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:18.033Z		RECORDED_DATE_MISMATCH
1899476647	7fd12114-9010-4c13-8f46-990fe04ca882	75-9451-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					685.8	0.0			2002-06-01T00:00:00Z		6	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9451-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:18.013Z		RECORDED_DATE_MISMATCH
1899476646	7fd12114-9010-4c13-8f46-990fe04ca882	75-9458-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					655.32	0.0			2002-07-01T00:00:00Z		7	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9458-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:18.014Z		RECORDED_DATE_MISMATCH
1899476640	7fd12114-9010-4c13-8f46-990fe04ca882	75-9459-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					624.84	15.240000000000009			2002-07-01T00:00:00Z		7	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9459-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:18.007Z		RECORDED_DATE_MISMATCH
1899476413	7fd12114-9010-4c13-8f46-990fe04ca882	75-9430-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					640.08				2002-07-01T00:00:00Z		7	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9430-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:17.734Z		RECORDED_DATE_MISMATCH
1899476350	7fd12114-9010-4c13-8f46-990fe04ca882	75-9428-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					655.32				2002-07-01T00:00:00Z		7	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9428-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:17.665Z		RECORDED_DATE_MISMATCH
1899476288	7fd12114-9010-4c13-8f46-990fe04ca882	75-9436-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					701.04	0.0			2002-07-01T00:00:00Z		7	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9436-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:17.604Z		RECORDED_DATE_MISMATCH
1899476220	7fd12114-9010-4c13-8f46-990fe04ca882	75-9435-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					647.7	7.6200000000000045			2002-07-01T00:00:00Z		7	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9435-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:17.468Z		RECORDED_DATE_MISMATCH
1899476169	7fd12114-9010-4c13-8f46-990fe04ca882	75-9434-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					628.6500000000001	3.8100000000000023			2002-06-01T00:00:00Z		6	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9434-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:17.405Z		RECORDED_DATE_MISMATCH
1899476147	7fd12114-9010-4c13-8f46-990fe04ca882	75-9427-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					617.22	7.6200000000000045			2002-07-01T00:00:00Z		7	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9427-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:17.386Z		RECORDED_DATE_MISMATCH
1899476129	7fd12114-9010-4c13-8f46-990fe04ca882	75-9432-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					655.32	0.0			2002-07-01T00:00:00Z		7	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9432-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:17.367Z		RECORDED_DATE_MISMATCH
1899476123	7fd12114-9010-4c13-8f46-990fe04ca882	75-9433-3385	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea lucifuga		SPECIES	Eurycea lucifuga Rafinesque, 1822	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862					612.6500000000001	3.0500000000000114			2002-07-01T00:00:00Z		7	2002	5218351	5218351	HUMAN_OBSERVATION	NTSRV	WV-NHP	75-9433-3385			CC_BY_NC_4_0	NatureServe				2018-08-31T20:57:17.366Z		RECORDED_DATE_MISMATCH
